Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Q,S,AgeFare
0,3,1,22.0,1,0,7.25,0,1,159.5
1,1,0,38.0,1,0,71.2833,0,0,2708.7653999999998
1,3,0,26.0,0,0,7.925,0,1,206.04999999999998
1,1,0,35.0,1,0,53.1,0,1,1858.5
0,3,1,35.0,0,0,8.05,0,1,281.75
0,3,1,25.14061971830986,0,0,8.4583,1,0,212.6469037633803
0,1,1,54.0,0,0,51.8625,0,1,2800.575
0,3,1,2.0,3,1,21.075,0,1,42.15
1,3,0,27.0,0,2,11.1333,0,1,300.5991
1,2,0,14.0,1,0,30.0708,0,0,420.9912
1,3,0,4.0,1,1,16.7,0,1,66.8
1,1,0,58.0,0,0,26.55,0,1,1539.9
0,3,1,20.0,0,0,8.05,0,1,161.0
0,3,1,39.0,1,5,31.275,0,1,1219.725
0,3,0,14.0,0,0,7.8542,0,1,109.9588
1,2,0,55.0,0,0,16.0,0,1,880.0
0,3,1,2.0,4,1,29.125,1,0,58.25
1,2,1,29.87763005780347,0,0,13.0,0,1,388.40919075144507
0,3,0,31.0,1,0,18.0,0,1,558.0
1,3,0,25.14061971830986,0,0,7.225,0,0,181.64097746478873
0,2,1,35.0,0,0,26.0,0,1,910.0
1,2,1,34.0,0,0,13.0,0,1,442.0
1,3,0,15.0,0,0,8.0292,1,0,120.43799999999999
1,1,1,28.0,0,0,35.5,0,1,994.0
0,3,0,8.0,3,1,21.075,0,1,168.6
1,3,0,38.0,1,5,31.3875,0,1,1192.725
0,3,1,25.14061971830986,0,0,7.225,0,0,181.64097746478873
0,1,1,19.0,3,2,263.0,0,1,4997.0
1,3,0,25.14061971830986,0,0,7.8792,1,0,198.08797088450706
0,3,1,25.14061971830986,0,0,7.8958,0,1,198.505305171831
0,1,1,40.0,0,0,27.7208,0,0,1108.832
1,1,0,38.233440860215055,1,0,146.5208,0,0,5601.994341591399
1,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
0,2,1,66.0,0,0,10.5,0,1,693.0
0,1,1,28.0,1,0,82.1708,0,0,2300.7824
0,1,1,42.0,1,0,52.0,0,1,2184.0
1,3,1,25.14061971830986,0,0,7.2292,0,0,181.74656806760564
0,3,1,21.0,0,0,8.05,0,1,169.05
0,3,0,18.0,2,0,18.0,0,1,324.0
1,3,0,14.0,1,0,11.2417,0,0,157.3838
0,3,0,40.0,1,0,9.475,0,1,379.0
0,2,0,27.0,1,0,21.0,0,1,567.0
0,3,1,25.14061971830986,0,0,7.8958,0,0,198.505305171831
1,2,0,3.0,1,2,41.5792,0,0,124.7376
1,3,0,19.0,0,0,7.8792,1,0,149.7048
0,3,1,25.14061971830986,0,0,8.05,0,1,202.3819887323944
0,3,1,25.14061971830986,1,0,15.5,1,0,389.67960563380285
1,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
0,3,1,25.14061971830986,2,0,21.6792,0,0,545.0285229971831
0,3,0,18.0,1,0,17.8,0,1,320.40000000000003
0,3,1,7.0,4,1,39.6875,0,1,277.8125
0,3,1,21.0,0,0,7.8,0,1,163.79999999999998
1,1,0,49.0,1,0,76.7292,0,0,3759.7308000000003
1,2,0,29.0,1,0,26.0,0,1,754.0
0,1,1,65.0,0,1,61.9792,0,0,4028.648
1,1,1,38.233440860215055,0,0,35.5,0,1,1357.2871505376345
1,2,0,21.0,0,0,10.5,0,1,220.5
0,3,1,28.5,0,0,7.2292,0,0,206.0322
1,2,0,5.0,1,2,27.75,0,1,138.75
0,3,1,11.0,5,2,46.9,0,1,515.9
0,3,1,22.0,0,0,7.2292,0,0,159.0424
1,1,0,38.0,0,0,80.0,0,0,3040.0
0,1,1,45.0,1,0,83.475,0,1,3756.3749999999995
0,3,1,4.0,3,2,27.9,0,1,111.6
0,1,1,38.233440860215055,0,0,27.7208,0,0,1059.8615673978495
1,3,1,25.14061971830986,1,1,15.2458,0,0,383.28886010140843
1,2,0,29.0,0,0,10.5,0,1,304.5
0,3,1,19.0,0,0,8.1583,0,1,155.0077
1,3,0,17.0,4,2,7.925,0,1,134.725
0,3,1,26.0,2,0,8.6625,0,1,225.225
0,2,1,32.0,0,0,10.5,0,1,336.0
0,3,0,16.0,5,2,46.9,0,1,750.4
0,2,1,21.0,0,0,73.5,0,1,1543.5
0,3,1,26.0,1,0,14.4542,0,0,375.80920000000003
1,3,1,32.0,0,0,56.4958,0,1,1807.8656
0,3,1,25.0,0,0,7.65,0,1,191.25
0,3,1,25.14061971830986,0,0,7.8958,0,1,198.505305171831
0,3,1,25.14061971830986,0,0,8.05,0,1,202.3819887323944
1,2,1,0.83,0,2,29.0,0,1,24.07
1,3,0,30.0,0,0,12.475,0,1,374.25
0,3,1,22.0,0,0,9.0,0,1,198.0
1,3,1,29.0,0,0,9.5,0,1,275.5
1,3,0,25.14061971830986,0,0,7.7875,1,0,195.78257605633803
0,1,1,28.0,0,0,47.1,0,1,1318.8
1,2,0,17.0,0,0,10.5,0,1,178.5
1,3,0,33.0,3,0,15.85,0,1,523.05
0,3,1,16.0,1,3,34.375,0,1,550.0
0,3,1,25.14061971830986,0,0,8.05,0,1,202.3819887323944
1,1,0,23.0,3,2,263.0,0,1,6049.0
0,3,1,24.0,0,0,8.05,0,1,193.20000000000002
0,3,1,29.0,0,0,8.05,0,1,233.45000000000002
0,3,1,20.0,0,0,7.8542,0,1,157.084
0,1,1,46.0,1,0,61.175,0,1,2814.0499999999997
0,3,1,26.0,1,2,20.575,0,1,534.9499999999999
0,3,1,59.0,0,0,7.25,0,1,427.75
0,3,1,25.14061971830986,0,0,8.05,0,1,202.3819887323944
0,1,1,71.0,0,0,34.6542,0,0,2460.4482000000003
1,1,1,23.0,0,1,63.3583,0,0,1457.2409
1,2,0,34.0,0,1,23.0,0,1,782.0
0,2,1,34.0,1,0,26.0,0,1,884.0
0,3,0,28.0,0,0,7.8958,0,1,221.0824
0,3,1,25.14061971830986,0,0,7.8958,0,1,198.505305171831
0,1,1,21.0,0,1,77.2875,0,1,1623.0375
0,3,1,33.0,0,0,8.6542,0,1,285.5886
0,3,1,37.0,2,0,7.925,0,1,293.22499999999997
0,3,1,28.0,0,0,7.8958,0,1,221.0824
1,3,0,21.0,0,0,7.65,0,1,160.65
1,3,1,25.14061971830986,0,0,7.775,0,1,195.46831830985917
0,3,1,38.0,0,0,7.8958,0,1,300.04040000000003
1,3,0,25.14061971830986,1,0,24.15,1,0,607.145966197183
0,1,1,47.0,0,0,52.0,0,1,2444.0
0,3,0,14.5,1,0,14.4542,0,0,209.5859
0,3,1,22.0,0,0,8.05,0,1,177.10000000000002
0,3,0,20.0,1,0,9.825,0,1,196.5
0,3,0,17.0,0,0,14.4583,0,0,245.7911
0,3,1,21.0,0,0,7.925,0,1,166.42499999999998
0,3,1,70.5,0,0,7.75,1,0,546.375
0,2,1,29.0,1,0,21.0,0,1,609.0
0,1,1,24.0,0,1,247.5208,0,0,5940.4992
0,3,0,2.0,4,2,31.275,0,1,62.55
0,2,1,21.0,2,0,73.5,0,1,1543.5
0,3,1,25.14061971830986,0,0,8.05,0,1,202.3819887323944
0,2,1,32.5,1,0,30.0708,0,0,977.3009999999999
1,2,0,32.5,0,0,13.0,0,1,422.5
0,1,1,54.0,0,1,77.2875,0,1,4173.525
1,3,1,12.0,1,0,11.2417,0,0,134.9004
0,3,1,25.14061971830986,0,0,7.75,1,0,194.83980281690143
1,3,1,24.0,0,0,7.1417,0,1,171.4008
1,3,0,25.14061971830986,1,1,22.3583,0,0,562.1015178478873
0,3,1,45.0,0,0,6.975,0,1,313.875
0,3,1,33.0,0,0,7.8958,0,0,260.5614
0,3,1,20.0,0,0,7.05,0,1,141.0
0,3,0,47.0,1,0,14.5,0,1,681.5
1,2,0,29.0,1,0,26.0,0,1,754.0
0,2,1,25.0,0,0,13.0,0,1,325.0
0,2,1,23.0,0,0,15.0458,0,0,346.0534
1,1,0,19.0,0,2,26.2833,0,1,499.3827
0,1,1,37.0,1,0,53.1,0,1,1964.7
0,3,1,16.0,0,0,9.2167,0,1,147.4672
0,1,1,24.0,0,0,79.2,0,0,1900.8000000000002
0,3,0,25.14061971830986,0,2,15.2458,0,0,383.28886010140843
1,3,0,22.0,0,0,7.75,0,1,170.5
1,3,0,24.0,1,0,15.85,0,1,380.4
0,3,1,19.0,0,0,6.75,1,0,128.25
0,2,1,18.0,0,0,11.5,0,1,207.0
0,2,1,19.0,1,1,36.75,0,1,698.25
1,3,1,27.0,0,0,7.7958,0,1,210.4866
0,3,0,9.0,2,2,34.375,0,1,309.375
0,2,1,36.5,0,2,26.0,0,1,949.0
0,2,1,42.0,0,0,13.0,0,1,546.0
0,2,1,51.0,0,0,12.525,0,1,638.775
1,1,0,22.0,1,0,66.6,0,1,1465.1999999999998
0,3,1,55.5,0,0,8.05,0,1,446.77500000000003
0,3,1,40.5,0,2,14.5,0,1,587.25
0,3,1,25.14061971830986,0,0,7.3125,0,1,183.84078169014086
0,1,1,51.0,0,1,61.3792,0,0,3130.3392
1,3,0,16.0,0,0,7.7333,1,0,123.7328
0,3,1,30.0,0,0,8.05,0,1,241.50000000000003
0,3,1,25.14061971830986,0,0,8.6625,0,1,217.78061830985916
0,3,1,25.14061971830986,8,2,69.55,0,1,1748.5301014084507
0,3,1,44.0,0,1,16.1,0,1,708.4000000000001
1,2,0,40.0,0,0,15.75,0,1,630.0
0,3,1,26.0,0,0,7.775,0,1,202.15
0,3,1,17.0,0,0,8.6625,0,1,147.2625
0,3,1,1.0,4,1,39.6875,0,1,39.6875
1,3,1,9.0,0,2,20.525,0,1,184.725
1,1,0,38.233440860215055,0,1,55.0,0,1,2102.839247311828
0,3,0,45.0,1,4,27.9,0,1,1255.5
0,1,1,38.233440860215055,0,0,25.925,0,1,991.2019543010753
0,3,1,28.0,0,0,56.4958,0,1,1581.8824
0,1,1,61.0,0,0,33.5,0,1,2043.5
0,3,1,4.0,4,1,29.125,1,0,116.5
1,3,0,1.0,1,1,11.1333,0,1,11.1333
0,3,1,21.0,0,0,7.925,0,1,166.42499999999998
0,1,1,56.0,0,0,30.6958,0,0,1718.9648
0,3,1,18.0,1,1,7.8542,0,1,141.3756
0,3,1,25.14061971830986,3,1,25.4667,0,1,640.2486201802817
0,1,0,50.0,0,0,28.7125,0,0,1435.625
0,2,1,30.0,0,0,13.0,0,1,390.0
0,3,1,36.0,0,0,0.0,0,1,0.0
0,3,0,25.14061971830986,8,2,69.55,0,1,1748.5301014084507
0,2,1,29.87763005780347,0,0,15.05,0,0,449.65833236994223
0,3,1,9.0,4,2,31.3875,0,1,282.4875
1,2,1,1.0,2,1,39.0,0,1,39.0
1,3,0,4.0,0,2,22.025,0,1,88.1
0,1,1,38.233440860215055,0,0,50.0,0,1,1911.6720430107528
1,3,0,25.14061971830986,1,0,15.5,1,0,389.67960563380285
1,1,1,45.0,0,0,26.55,0,1,1194.75
0,3,1,40.0,1,1,15.5,1,0,620.0
0,3,1,36.0,0,0,7.8958,0,1,284.2488
1,2,0,32.0,0,0,13.0,0,1,416.0
0,2,1,19.0,0,0,13.0,0,1,247.0
1,3,0,19.0,1,0,7.8542,0,1,149.22979999999998
1,2,1,3.0,1,1,26.0,0,1,78.0
1,1,0,44.0,0,0,27.7208,0,0,1219.7152
1,1,0,58.0,0,0,146.5208,0,0,8498.206400000001
0,3,1,25.14061971830986,0,0,7.75,1,0,194.83980281690143
0,3,1,42.0,0,1,8.4042,0,1,352.97639999999996
1,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
0,2,0,24.0,0,0,13.0,0,1,312.0
0,3,1,28.0,0,0,9.5,0,1,266.0
0,3,1,25.14061971830986,8,2,69.55,0,1,1748.5301014084507
0,3,1,34.0,0,0,6.4958,0,1,220.8572
0,3,1,45.5,0,0,7.225,0,0,328.7375
1,3,1,18.0,0,0,8.05,0,1,144.9
0,3,0,2.0,0,1,10.4625,0,1,20.925
0,3,1,32.0,1,0,15.85,0,1,507.2
1,3,1,26.0,0,0,18.7875,0,0,488.475
1,3,0,16.0,0,0,7.75,1,0,124.0
1,1,1,40.0,0,0,31.0,0,0,1240.0
0,3,1,24.0,0,0,7.05,0,1,169.2
1,2,0,35.0,0,0,21.0,0,1,735.0
0,3,1,22.0,0,0,7.25,0,1,159.5
0,2,1,30.0,0,0,13.0,0,1,390.0
0,3,1,25.14061971830986,1,0,7.75,1,0,194.83980281690143
1,1,0,31.0,1,0,113.275,0,0,3511.525
1,3,0,27.0,0,0,7.925,0,1,213.975
0,2,1,42.0,1,0,27.0,0,1,1134.0
1,1,0,32.0,0,0,76.2917,0,0,2441.3344
0,2,1,30.0,0,0,10.5,0,1,315.0
1,3,1,16.0,0,0,8.05,0,1,128.8
0,2,1,27.0,0,0,13.0,0,1,351.0
0,3,1,51.0,0,0,8.05,0,1,410.55
0,3,1,25.14061971830986,0,0,7.8958,0,1,198.505305171831
1,1,1,38.0,1,0,90.0,0,1,3420.0
0,3,1,22.0,0,0,9.35,0,1,205.7
1,2,1,19.0,0,0,10.5,0,1,199.5
0,3,1,20.5,0,0,7.25,0,1,148.625
0,2,1,18.0,0,0,13.0,0,1,234.0
0,3,0,25.14061971830986,3,1,25.4667,0,1,640.2486201802817
1,1,0,35.0,1,0,83.475,0,1,2921.625
0,3,1,29.0,0,0,7.775,0,1,225.47500000000002
0,2,1,59.0,0,0,13.5,0,1,796.5
1,3,0,5.0,4,2,31.3875,0,1,156.9375
0,2,1,24.0,0,0,10.5,0,1,252.0
0,3,0,25.14061971830986,0,0,7.55,0,1,189.81167887323943
0,2,1,44.0,1,0,26.0,0,1,1144.0
1,2,0,8.0,0,2,26.25,0,1,210.0
0,2,1,19.0,0,0,10.5,0,1,199.5
0,2,1,33.0,0,0,12.275,0,1,405.075
0,3,0,25.14061971830986,1,0,14.4542,0,0,363.38754553239437
1,3,0,25.14061971830986,1,0,15.5,1,0,389.67960563380285
0,2,1,29.0,0,0,10.5,0,1,304.5
0,3,1,22.0,0,0,7.125,0,1,156.75
0,3,1,30.0,0,0,7.225,0,0,216.75
0,1,1,44.0,2,0,90.0,1,0,3960.0
0,3,0,25.0,0,0,7.775,0,1,194.375
1,2,0,24.0,0,2,14.5,0,1,348.0
1,1,1,37.0,1,1,52.5542,0,1,1944.5054
0,2,1,54.0,1,0,26.0,0,1,1404.0
0,3,1,25.14061971830986,0,0,7.25,0,1,182.26949295774648
0,3,0,29.0,1,1,10.4625,0,1,303.4125
0,1,1,62.0,0,0,26.55,0,1,1646.1000000000001
0,3,1,30.0,1,0,16.1,0,1,483.00000000000006
0,3,0,41.0,0,2,20.2125,0,1,828.7125
1,3,0,29.0,0,2,15.2458,0,0,442.1282
1,1,0,38.233440860215055,0,0,79.2,0,0,3028.0885161290325
1,1,0,30.0,0,0,86.5,0,1,2595.0
1,1,0,35.0,0,0,512.3292,0,0,17931.522
1,2,0,50.0,0,1,26.0,0,1,1300.0
0,3,1,25.14061971830986,0,0,7.75,1,0,194.83980281690143
1,3,1,3.0,4,2,31.3875,0,1,94.1625
0,1,1,52.0,1,1,79.65,0,1,4141.8
0,1,1,40.0,0,0,0.0,0,1,0.0
0,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
0,2,1,36.0,0,0,10.5,0,1,378.0
0,3,1,16.0,4,1,39.6875,0,1,635.0
1,3,1,25.0,1,0,7.775,0,1,194.375
1,1,0,58.0,0,1,153.4625,0,1,8900.825
1,1,0,35.0,0,0,135.6333,0,1,4747.1655
0,1,1,38.233440860215055,0,0,31.0,0,1,1185.2366666666667
1,3,1,25.0,0,0,0.0,0,1,0.0
1,2,0,41.0,0,1,19.5,0,1,799.5
0,1,1,37.0,0,1,29.7,0,0,1098.8999999999999
1,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
1,1,0,63.0,1,0,77.9583,0,1,4911.372899999999
0,3,0,45.0,0,0,7.75,0,1,348.75
0,2,1,29.87763005780347,0,0,0.0,0,1,0.0
0,3,1,7.0,4,1,29.125,1,0,203.875
1,3,0,35.0,1,1,20.25,0,1,708.75
0,3,1,65.0,0,0,7.75,1,0,503.75
0,3,1,28.0,0,0,7.8542,0,1,219.9176
0,3,1,16.0,0,0,9.5,0,1,152.0
1,3,1,19.0,0,0,8.05,0,1,152.95000000000002
0,1,1,38.233440860215055,0,0,26.0,0,1,994.0694623655914
0,3,1,33.0,0,0,8.6625,0,0,285.8625
1,3,1,30.0,0,0,9.5,0,1,285.0
0,3,1,22.0,0,0,7.8958,0,1,173.7076
1,2,1,42.0,0,0,13.0,0,1,546.0
1,3,0,22.0,0,0,7.75,1,0,170.5
1,1,0,26.0,0,0,78.85,0,1,2050.1
1,1,0,19.0,1,0,91.0792,0,0,1730.5048
0,2,1,36.0,0,0,12.875,0,0,463.5
0,3,0,24.0,0,0,8.85,0,1,212.39999999999998
0,3,1,24.0,0,0,7.8958,0,1,189.4992
0,1,1,38.233440860215055,0,0,27.7208,0,0,1059.8615673978495
0,3,1,23.5,0,0,7.2292,0,0,169.8862
0,1,0,2.0,1,2,151.55,0,1,303.1
1,1,1,38.233440860215055,0,0,30.5,0,1,1166.1199462365591
1,1,0,50.0,0,1,247.5208,0,0,12376.04
1,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
1,3,1,25.14061971830986,2,0,23.25,1,0,584.5194084507043
0,3,1,19.0,0,0,0.0,0,1,0.0
1,2,0,29.87763005780347,0,0,12.35,1,0,368.9887312138728
0,3,1,25.14061971830986,0,0,8.05,0,1,202.3819887323944
1,1,1,0.92,1,2,151.55,0,1,139.42600000000002
1,1,0,38.233440860215055,0,0,110.8833,0,0,4239.4500929354845
1,1,0,17.0,1,0,108.9,0,0,1851.3000000000002
0,2,1,30.0,1,0,24.0,0,0,720.0
1,1,0,30.0,0,0,56.9292,0,0,1707.876
1,1,0,24.0,0,0,83.1583,0,0,1995.7992
1,1,0,18.0,2,2,262.375,0,0,4722.75
0,2,0,26.0,1,1,26.0,0,1,676.0
0,3,1,28.0,0,0,7.8958,0,1,221.0824
0,2,1,43.0,1,1,26.25,0,1,1128.75
1,3,0,26.0,0,0,7.8542,0,1,204.20919999999998
1,2,0,24.0,1,0,26.0,0,1,624.0
0,2,1,54.0,0,0,14.0,0,1,756.0
1,1,0,31.0,0,2,164.8667,0,1,5110.867700000001
1,1,0,40.0,1,1,134.5,0,0,5380.0
0,3,1,22.0,0,0,7.25,0,1,159.5
0,3,1,27.0,0,0,7.8958,0,1,213.1866
1,2,0,30.0,0,0,12.35,1,0,370.5
1,2,0,22.0,1,1,29.0,0,1,638.0
0,3,1,25.14061971830986,8,2,69.55,0,1,1748.5301014084507
1,1,0,36.0,0,0,135.6333,0,0,4882.7988
0,3,1,61.0,0,0,6.2375,0,1,380.4875
1,2,0,36.0,0,0,13.0,0,1,468.0
1,3,0,31.0,1,1,20.525,0,1,636.275
1,1,0,16.0,0,1,57.9792,0,0,927.6672
1,3,0,25.14061971830986,2,0,23.25,1,0,584.5194084507043
0,1,1,45.5,0,0,28.5,0,1,1296.75
0,1,1,38.0,0,1,153.4625,0,1,5831.575
0,3,1,16.0,2,0,18.0,0,1,288.0
1,1,0,38.233440860215055,1,0,133.65,0,1,5109.8993709677425
0,3,1,25.14061971830986,0,0,7.8958,0,1,198.505305171831
0,1,1,29.0,1,0,66.6,0,1,1931.3999999999999
1,1,0,41.0,0,0,134.5,0,0,5514.5
1,3,1,45.0,0,0,8.05,0,1,362.25000000000006
0,1,1,45.0,0,0,35.5,0,1,1597.5
1,2,1,2.0,1,1,26.0,0,1,52.0
1,1,0,24.0,3,2,263.0,0,1,6312.0
0,2,1,28.0,0,0,13.0,0,1,364.0
0,2,1,25.0,0,0,13.0,0,1,325.0
0,2,1,36.0,0,0,13.0,0,1,468.0
1,2,0,24.0,0,0,13.0,0,1,312.0
1,2,0,40.0,0,0,13.0,0,1,520.0
1,3,0,25.14061971830986,1,0,16.1,0,1,404.7639774647888
1,3,1,3.0,1,1,15.9,0,1,47.7
0,3,1,42.0,0,0,8.6625,0,1,363.825
0,3,1,23.0,0,0,9.225,0,1,212.17499999999998
0,1,1,38.233440860215055,0,0,35.0,0,1,1338.170430107527
0,3,1,15.0,1,1,7.2292,0,0,108.43799999999999
0,3,1,25.0,1,0,17.8,0,1,445.0
0,3,1,25.14061971830986,0,0,7.225,0,0,181.64097746478873
0,3,1,28.0,0,0,9.5,0,1,266.0
1,1,0,22.0,0,1,55.0,0,1,1210.0
0,2,0,38.0,0,0,13.0,0,1,494.0
1,3,0,25.14061971830986,0,0,7.8792,1,0,198.08797088450706
1,3,0,25.14061971830986,0,0,7.8792,1,0,198.08797088450706
0,3,1,40.0,1,4,27.9,0,1,1116.0
0,2,1,29.0,1,0,27.7208,0,0,803.9032
0,3,0,45.0,0,1,14.4542,0,0,650.439
0,3,1,35.0,0,0,7.05,0,1,246.75
0,3,1,25.14061971830986,1,0,15.5,1,0,389.67960563380285
0,3,1,30.0,0,0,7.25,0,1,217.5
1,1,0,60.0,1,0,75.25,0,0,4515.0
1,3,0,25.14061971830986,0,0,7.2292,0,0,181.74656806760564
1,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
1,1,0,24.0,0,0,69.3,0,0,1663.1999999999998
1,1,1,25.0,1,0,55.4417,0,0,1386.0425
0,3,1,18.0,1,0,6.4958,0,1,116.9244
0,3,1,19.0,0,0,8.05,0,1,152.95000000000002
0,1,1,22.0,0,0,135.6333,0,0,2983.9325999999996
0,3,0,3.0,3,1,21.075,0,1,63.224999999999994
1,1,0,38.233440860215055,1,0,82.1708,0,0,3141.672422236559
1,3,0,22.0,0,0,7.25,0,1,159.5
0,1,1,27.0,0,2,211.5,0,0,5710.5
0,3,1,20.0,0,0,4.0125,0,0,80.25
0,3,1,19.0,0,0,7.775,0,1,147.725
1,1,0,42.0,0,0,227.525,0,0,9556.050000000001
1,3,0,1.0,0,2,15.7417,0,0,15.7417
0,3,1,32.0,0,0,7.925,0,1,253.6
1,1,0,35.0,1,0,52.0,0,1,1820.0
0,3,1,25.14061971830986,0,0,7.8958,0,1,198.505305171831
0,2,1,18.0,0,0,73.5,0,1,1323.0
0,3,1,1.0,5,2,46.9,0,1,46.9
1,2,0,36.0,0,0,13.0,0,1,468.0
0,3,1,25.14061971830986,0,0,7.7292,1,0,194.31687792676055
1,2,0,17.0,0,0,12.0,0,0,204.0
1,1,1,36.0,1,2,120.0,0,1,4320.0
1,3,1,21.0,0,0,7.7958,0,1,163.71179999999998
0,3,1,28.0,2,0,7.925,0,1,221.9
1,1,0,23.0,1,0,113.275,0,0,2605.3250000000003
1,3,0,24.0,0,2,16.7,0,1,400.79999999999995
0,3,1,22.0,0,0,7.7958,0,1,171.5076
0,3,0,31.0,0,0,7.8542,0,1,243.4802
0,2,1,46.0,0,0,26.0,0,1,1196.0
0,2,1,23.0,0,0,10.5,0,1,241.5
1,2,0,28.0,0,0,12.65,0,1,354.2
1,3,1,39.0,0,0,7.925,0,1,309.075
0,3,1,26.0,0,0,8.05,0,1,209.3
0,3,0,21.0,1,0,9.825,0,1,206.325
0,3,1,28.0,1,0,15.85,0,1,443.8
0,3,0,20.0,0,0,8.6625,0,1,173.25
0,2,1,34.0,1,0,21.0,0,1,714.0
0,3,1,51.0,0,0,7.75,0,1,395.25
1,2,1,3.0,1,1,18.75,0,1,56.25
0,3,1,21.0,0,0,7.775,0,1,163.275
0,3,0,25.14061971830986,3,1,25.4667,0,1,640.2486201802817
0,3,1,25.14061971830986,0,0,7.8958,0,1,198.505305171831
0,3,1,25.14061971830986,0,0,6.8583,1,0,172.4219122140845
1,1,0,33.0,1,0,90.0,1,0,2970.0
0,2,1,29.87763005780347,0,0,0.0,0,1,0.0
1,3,1,44.0,0,0,7.925,0,1,348.7
0,3,0,25.14061971830986,0,0,8.05,0,1,202.3819887323944
1,2,0,34.0,1,1,32.5,0,1,1105.0
1,2,0,18.0,0,2,13.0,0,1,234.0
0,2,1,30.0,0,0,13.0,0,1,390.0
0,3,0,10.0,0,2,24.15,0,1,241.5
0,3,1,25.14061971830986,0,0,7.8958,0,0,198.505305171831
0,3,1,21.0,0,0,7.7333,1,0,162.39929999999998
0,3,1,29.0,0,0,7.875,0,1,228.375
0,3,0,28.0,1,1,14.4,0,1,403.2
0,3,1,18.0,1,1,20.2125,0,1,363.825
0,3,1,25.14061971830986,0,0,7.25,0,1,182.26949295774648
1,2,0,28.0,1,0,26.0,0,1,728.0
1,2,0,19.0,0,0,26.0,0,1,494.0
0,3,1,25.14061971830986,0,0,7.75,1,0,194.83980281690143
1,3,1,32.0,0,0,8.05,0,1,257.6
1,1,1,28.0,0,0,26.55,0,1,743.4
1,3,0,25.14061971830986,1,0,16.1,0,1,404.7639774647888
1,2,0,42.0,1,0,26.0,0,1,1092.0
0,3,1,17.0,0,0,7.125,0,1,121.125
0,1,1,50.0,1,0,55.9,0,1,2795.0
1,1,0,14.0,1,2,120.0,0,1,1680.0
0,3,0,21.0,2,2,34.375,0,1,721.875
1,2,0,24.0,2,3,18.75,0,1,450.0
0,1,1,64.0,1,4,263.0,0,1,16832.0
0,2,1,31.0,0,0,10.5,0,1,325.5
1,2,0,45.0,1,1,26.25,0,1,1181.25
0,3,1,20.0,0,0,9.5,0,1,190.0
0,3,1,25.0,1,0,7.775,0,1,194.375
1,2,0,28.0,0,0,13.0,0,1,364.0
1,3,1,25.14061971830986,0,0,8.1125,0,1,203.95327746478875
1,1,1,4.0,0,2,81.8583,0,1,327.4332
1,2,0,13.0,0,1,19.5,0,1,253.5
